date_utc,generated_at_utc,window_start_utc,window_end_utc,total_articles_classified,relevant_articles,negotiation_count,ceasefire_count,deescalation_count,escalation_count,proxy_escalation_count,strike_count,irrelevant_count,negotiation_ratio,war_ratio,avg_strength,median_strength,avg_positive_strength,avg_negative_strength,avg_source_weight,negotiation_events,ceasefire_events,deescalation_events,escalation_events,proxy_events,strike_events,article_raw_score,event_raw_score,batch_raw_score,war_batch_score,war_smoothed_score,trend_delta,trend_label,trend_label_ko,oil_signal,defense_signal,airline_signal,equity_signal,gold_dollar_signal,alert_message,summary_ko
2026-03-12,2026-03-12T17:39:18+00:00,2026-03-12T14:37:22.036398+00:00,2026-03-12T17:38:43.643746+00:00,4,4,0,0,2,0,0,2,0,0.5,0.5,0.525,0.5,0.35,0.7,1.025,0,0,2,0,0,2,6.27,6.27,6.27,76.12,84.96,-10.03,strong_down,가파른 하락,급등 리스크,매우 강세,악재,강한 리스크오프,강한 선호,직접 공격/보복 보도 증가,직접 공격·보복 보도가 강하게 반영돼 고위험 구간이다. 단기 확전 리스크를 강하게 경계해야 한다.
2026-03-12,2026-03-12T19:56:00+00:00,2026-03-12T17:38:43.643746+00:00,2026-03-12T19:55:25.644968+00:00,4,4,0,0,0,0,0,4,0,0.0,1.0,0.7875,0.875,0.0,0.7875,1.0,0,0,0,0,0,4,15.75,15.75,15.75,100.0,92.84,14.97,strong_up,가파른 상승,급등 리스크,매우 강세,악재,강한 리스크오프,강한 선호,전쟁 위험 급상승,직접 공격·보복 보도가 강하게 반영돼 고위험 구간이다. 단기 확전 리스크를 강하게 경계해야 한다.
2026-03-12,2026-03-12T21:59:08+00:00,2026-03-12T19:55:25.644968+00:00,2026-03-12T21:58:40.108293+00:00,2,2,0,0,0,1,1,0,0,0.0,1.0,0.675,0.675,0.0,0.675,1.0,0,0,0,1,1,0,3.45,3.45,3.45,64.38,76.24,9.6,up,상승,급등 리스크,매우 강세,악재,강한 리스크오프,강한 선호,특이 경보 없음,대리세력 관련 충돌까지 겹치며 긴장이 매우 높다. 위험자산보다 방어적 해석이 유리하다.
2026-03-13,2026-03-13T05:05:42+00:00,2026-03-12T21:58:40.108293+00:00,2026-03-13T05:04:40.066160+00:00,9,8,0,0,0,5,1,2,1,0.0,1.0,0.7188,0.75,0.0,0.7188,1.0125,0,0,0,5,1,2,17.76,17.76,17.76,100.0,89.31,9.6,up,상승,급등 리스크,매우 강세,악재,강한 리스크오프,강한 선호,전쟁 위험 급상승,직접 공격·보복 보도가 강하게 반영돼 고위험 구간이다. 단기 확전 리스크를 강하게 경계해야 한다.
2026-03-13,2026-03-13T07:59:35+00:00,2026-03-13T05:04:40.066160+00:00,2026-03-13T07:59:11.247525+00:00,3,3,0,0,0,2,0,1,0,0.0,1.0,0.7833,0.8,0.0,0.7833,1.0,0,0,0,2,0,1,7.4,7.4,7.4,80.83,84.94,6.54,up,상승,급등 리스크,매우 강세,악재,강한 리스크오프,강한 선호,특이 경보 없음,직접 공격·보복 보도가 강하게 반영돼 고위험 구간이다. 단기 확전 리스크를 강하게 경계해야 한다.
2026-03-13,2026-03-13T11:02:57+00:00,2026-03-13T07:59:11.247525+00:00,2026-03-13T11:02:15.633698+00:00,5,5,1,0,0,3,0,1,0,0.2,0.8,0.56,0.6,0.8,0.5,1.02,1,0,0,3,0,1,3.036,2.9907,2.9892,56.23,65.53,-16.9,strong_down,가파른 하락,강세,강세,부담,리스크오프,선호,특이 경보 없음,아직 긴장 상태가 우세하다. 다만 즉각적 확전 여부는 추가 기사 확인이 필요하다.
2026-03-13,2026-03-13T14:28:38+00:00,2026-03-13T11:02:15.633698+00:00,2026-03-13T14:28:05.012815+00:00,4,3,0,1,1,0,0,1,1,0.6667,0.3333,0.75,0.7,0.7,0.85,1.0,0,1,1,0,0,1,0.6645,0.664,0.664,51.38,55.3,-13.02,strong_down,가파른 하락,강세,강세,부담,리스크오프,선호,특이 경보 없음,아직 긴장 상태가 우세하다. 다만 즉각적 확전 여부는 추가 기사 확인이 필요하다.
2026-03-13,2026-03-13T14:30:43+00:00,2026-03-13T14:28:05.012815+00:00,2026-03-13T14:30:35.212852+00:00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,51.38,51.87,-25.17,strong_down,가파른 하락,강세,강세,부담,리스크오프,선호,특이 경보 없음,이번 실행 구간에는 새로 올라온 관련 기사가 거의 없었다.
2026-03-13,2026-03-13T17:05:46+00:00,2026-03-13T14:30:35.212852+00:00,2026-03-13T17:05:01.751268+00:00,6,6,0,1,0,2,0,3,0,0.1667,0.8333,0.8583,0.85,0.8,0.87,1.0167,0,1,0,2,0,3,8.477,7.5415,7.5837,65.8,61.47,-30.1,strong_down,가파른 하락,강세,강세,부담,리스크오프,선호,직접 공격/보복 보도 증가,아직 긴장 상태가 우세하다. 다만 즉각적 확전 여부는 추가 기사 확인이 필요하다.
2026-03-13,2026-03-13T19:47:53+00:00,2026-03-13T17:05:01.751268+00:00,2026-03-13T19:47:16.859439+00:00,4,4,0,0,1,0,0,3,0,0.25,0.75,0.7625,0.8,0.65,0.8,1.0375,0,0,1,0,0,3,7.4473,6.8048,6.8215,64.21,63.24,-17.17,strong_down,가파른 하락,강세,강세,부담,리스크오프,선호,직접 공격/보복 보도 증가,아직 긴장 상태가 우세하다. 다만 즉각적 확전 여부는 추가 기사 확인이 필요하다.
